연도,호수,발표일,분류,농작물명,병해충유형,방제약,데이터기준일자
2022,제1호,2022-02-21,감귤,하우스감귤,잿빛곰팡이병,살림꾼(액수)·유닉스(입수)·카브리오(유)·후론사이트(수) 등,2022-12-16
2022,제1호,2022-02-21,감귤,하우스감귤,응애,가네마이트(액수)·노블레스(액수)·아크라마이트(액수)·응애단(유)·코드원(액수) 등,2022-12-16
2022,제1호,2022-02-21,감귤,만감류,저장병,벨쿠트(수)·스포르곤(수)·해비치(입수) 등,2022-12-16
2022,제1호,2022-02-21,키위,키위,경종적방제,전정 후 상처부위에 톱신페스트 도포,2022-12-16
2022,제1호,2022-02-21,키위,키위,깍지벌레류,기계유(유) 40~50배,2022-12-16
2022,제1호,2022-02-21,채소,마늘,세균점무늬병,델란케이(수)·타미나(수) 등,2022-12-16
2022,제1호,2022-02-21,채소,마늘,흑색썩음균핵병,벨리스플러스(입수)· 살림꾼(액수)· 카스텔란(수) 등,2022-12-16
2022,제1호,2022-02-21,채소,마늘,잎집썩음병,메가폰(입수)· 아무러(수)· 용마루(수용)· 일품(수) 등,2022-12-16
2022,제1호,2022-02-21,채소,양파,노균병,명작(액수)· 오티바(액수)· 젬프로(액수)· 텔루스(액수) 등,2022-12-16
2022,제1호,2022-02-21,채소,양파,잿빛곰팡이병,금모리(액수)· 미토스(액수)· 차단(액수)· 크린캡(유제),2022-12-16
2022,제1호,2022-02-21,채소,양배추/브로콜리,검은썩음병,(양배추)메가폰(입수)· 비천무(입수)· 용마루(수용) 등,2022-12-16
2022,제1호,2022-02-21,채소,양배추/브로콜리,노균병,(브로콜리/무)카브리오(유)· 캐스팅(액수)· 텔루스(액수) 등,2022-12-16
2022,제1호,2022-02-21,채소,토마토,역병,미리카트(액수)· 역노산(수)· 이코션(입수)· 텔루스(액수) 등,2022-12-16
2022,제1호,2022-02-21,채소,토마토,잎곰팡이병,카스텔란(수)· 탐스론(액수)· 트리후민(수)· 흥이나(수) 등,2022-12-16
2022,제1호,2022-02-21,채소,토마토,잿빛곰팡이병,탤런트(액수)· 탐실(액수)· 텔도(수)· 팡파르(수) 등,2022-12-16
